country,country_code_2_digit,country_code_3_digit,population,cases_count,deaths_count,reported_date,source
the Holy See/ Vatican City State,VA,VAT,809,0,0,2020-09-27,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,0,0,2020-01-23,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,0,0,2020-05-29,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,0,0,2020-01-05,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,0,0,2020-01-16,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,34,1,2020-08-16,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,147,5,2020-05-24,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,98,0,2020-07-20,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,2,0,2020-06-01,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,0,0,2020-01-29,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,114,6,2020-04-17,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,2020-01-07,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,0,0,2020-01-04,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,16,0,2020-04-26,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,13,0,2020-10-17,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,57,0,2020-09-24,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,1596,45,2020-09-03,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,163,2,2020-07-31,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,35,1,2020-06-06,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,184,3,2020-08-23,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,4,0,2020-07-10,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,10,0,2020-07-24,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,15,0,2020-03-12,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,0,0,2020-05-27,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,1,0,2020-07-29,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,2,0,2020-10-15,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,15,0,2020-03-16,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,707,1,2020-10-15,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,0,0,2020-01-06,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,2020-09-17,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,2,0,2020-06-21,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,0,0,2020-07-03,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,0,0,2020-01-09,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,567,16,2020-09-06,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,89,3,2020-06-24,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,28,1,2020-04-08,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,164,6,2020-04-11,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,4,0,2020-09-25,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,3,0,2020-05-10,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,0,0,2020-06-15,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,67,1,2020-04-12,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,1516,232,2020-04-02,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,1406,2,2020-09-01,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,408,5,2020-04-16,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,0,0,2020-02-06,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,68,0,2020-06-23,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,168,5,2020-06-02,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,48,1,2020-04-02,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,0,0,2020-02-26,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,0,0,2020-01-09,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,821,5,2020-09-19,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,7,0,2020-08-03,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,4676,115,2020-08-27,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,136,2,2020-06-23,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,8,0,2020-06-21,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,28,1,2020-08-07,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,0,0,2020-03-03,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,0,0,2020-04-14,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,4,0,2020-03-05,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,2,0,2020-06-26,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,8232,160,2020-09-30,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,1,0,2020-05-24,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,0,0,2020-06-10,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,295,12,2020-07-04,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,175,0,2020-10-19,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,0,0,2020-06-30,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,1268,5,2020-10-06,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,2020-02-12,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,2020-05-13,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,0,0,2020-03-05,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,1,0,2020-04-23,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,0,0,2020-02-22,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,1089,12,2020-08-19,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,2667,578,2020-04-16,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,310,24,2020-04-13,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,2020-09-26,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,835,1,2020-10-09,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,0,0,2020-01-04,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,142,0,2020-07-17,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,12,0,2020-05-26,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,4768,85,2020-10-12,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,2020-09-10,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,120,0,2020-10-08,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,0,0,2020-01-10,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,0,0,2020-02-11,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,4,1,2020-05-28,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,0,0,2020-02-29,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,82,1,2020-06-17,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,305,8,2020-04-04,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,110,3,2020-06-26,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,1707,10,2020-08-20,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,5,0,2020-03-15,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,2,0,2020-07-06,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,0,0,2020-02-19,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,333,2,2020-08-05,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,39,2,2020-03-30,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,0,0,2020-02-02,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,1,0,2020-08-23,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,22,0,2020-06-27,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,145,11,2020-06-10,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,0,0,2020-02-27,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,2866,315,2020-04-16,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,0,0,2020-02-13,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,1173,181,2020-05-08,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,37,3,2020-05-22,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,0,0,2020-01-03,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,1324,35,2020-06-30,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,97,2,2020-08-11,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,304,13,2020-05-29,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,0,0,2020-02-13,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,484,1,2020-03-14,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,0,0,2020-05-30,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,662,10,2020-06-27,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,241,2,2020-08-23,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,196,15,2020-05-21,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,12,0,2020-05-30,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,462,33,2020-06-08,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,257,0,2020-09-15,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,30,0,2020-04-05,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,0,0,2020-06-09,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,657,72,2020-05-06,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,334,40,2020-05-04,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,143,5,2020-03-24,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,190,12,2020-08-09,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,271,7,2020-10-06,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,0,0,2020-02-10,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,0,0,2020-04-26,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,910,11,2020-09-21,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,3388,28,2020-04-16,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,784,4,2020-05-05,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,1093,5,2020-09-22,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,492,186,2020-05-19,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,182,7,2020-07-04,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,49,1,2020-05-17,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,0,0,2020-01-08,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,25,3,2020-05-29,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,1,0,2020-07-08,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,946,5,2020-05-26,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,3013,76,2020-04-05,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,0,0,2020-06-14,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,7,0,2020-04-09,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,452,6,2020-05-25,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,681,12,2020-07-21,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,633,4,2020-07-28,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,39,1,2020-06-27,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,2020-02-18,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,0,0,2020-01-26,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,1410,5,2020-09-27,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,22,1,2020-03-28,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,518,2,2020-04-19,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,96,1,2020-06-06,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,0,0,2020-02-17,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,57,0,2020-03-30,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,12474,106,2020-10-25,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,318,14,2020-05-04,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,534,6,2020-07-05,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,0,0,2020-08-11,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,23,0,2020-06-28,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,580,26,2020-06-18,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,447,3,2020-04-16,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,0,0,2020-05-07,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,46,0,2020-06-08,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,2,0,2020-07-11,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,0,0,2020-03-03,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,1199,76,2020-06-12,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,13,0,2020-06-02,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,7,0,2020-05-25,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,2020-07-12,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,25,0,2020-09-07,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,63,11,2020-04-25,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,1,0,2020-06-15,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,2020-02-15,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,1660,0,2020-04-27,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,101,4,2020-05-10,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,2020-01-27,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,0,0,2020-09-12,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,284,7,2020-06-22,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,0,0,2020-05-24,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,70,0,2020-03-21,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,35,0,2020-04-03,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,27,1,2020-04-16,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,0,0,2020-01-10,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,2,0,2020-05-13,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,6582,20,2020-10-09,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,724,42,2020-04-17,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,0,0,2020-06-12,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,21,2,2020-04-12,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,227,4,2020-07-18,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,403,55,2020-05-24,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,0,0,2020-02-23,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,0,0,2020-02-05,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,1934,257,2020-04-07,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,0,0,2020-03-09,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,0,0,2020-08-10,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,0,0,2020-01-16,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,188,2,2020-08-30,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,8,0,2020-09-27,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,262,4,2020-06-29,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,386,18,2020-07-11,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,0,0,2020-02-25,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,51,0,2020-08-28,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,2,0,2020-02-26,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,20,6,2020-04-06,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,8581,42,2020-09-02,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,44,0,2020-06-18,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,0,0,2020-02-06,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,0,0,2020-03-03,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,0,0,2020-09-27,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,0,0,2020-06-19,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,4,0,2020-05-21,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,548,10,2020-08-03,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,474,6,2020-08-13,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,0,0,2020-05-25,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,130,1,2020-10-05,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,0,0,2020-02-06,"Epidemic intelligence, national daily data"
Faroes,,,48865,0,0,2020-06-11,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,161,6,2020-05-07,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,396,6,2020-07-28,"Epidemic intelligence, national daily data"
Faroes,,,48865,8,0,2020-08-16,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,0,0,2020-01-19,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,439,16,2020-07-22,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,25,0,2020-07-05,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,59,0,2020-08-08,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,0,0,2020-01-31,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,503,9,2020-07-02,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,735,8,2020-06-22,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,393,123,2020-05-11,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,0,0,2020-02-21,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,0,0,2020-01-11,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,47,0,2020-09-05,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,69,11,2020-06-07,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,29,1,2020-03-23,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,376,7,2020-06-13,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,240,8,2020-03-01,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,0,0,2020-02-17,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,2020-08-24,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,0,0,2020-06-01,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,245,1,2020-10-15,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,305,1,2020-06-29,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,0,0,2020-07-18,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,0,0,2020-08-22,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,0,0,2020-02-01,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,5687,18,2020-10-07,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,143,8,2020-09-19,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,11,0,2020-06-26,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,3116,517,2020-04-14,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,1,0,2020-03-29,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,17,3,2020-04-22,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,1,1,2020-06-25,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,2,0,2020-03-10,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,0,0,2020-03-01,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,3307,352,2020-05-15,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,5920,181,2020-08-06,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,1,0,2020-07-28,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,0,0,2020-03-08,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,2,0,2020-03-02,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,940,16,2020-06-25,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,0,0,2020-02-23,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,231,2,2020-09-24,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,4,0,2020-04-02,"Epidemic intelligence, national daily data"
Faroes,,,48865,0,0,2020-03-12,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,0,0,2020-01-16,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,0,0,2020-09-21,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,14162,70,2020-10-08,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,130,8,2020-04-06,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,8145,812,2020-03-31,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,5509,57,2020-09-15,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,3,0,2020-05-07,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,116,4,2020-04-18,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,1375,27,2020-07-07,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,0,0,2020-01-25,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,186,4,2020-08-09,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,8,0,2020-06-20,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,0,0,2020-02-24,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,2044,4,2020-09-20,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,4868,736,2020-04-04,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,153,0,2020-07-21,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,11970,209,2020-10-14,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,0,0,2020-09-17,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,48,0,2020-09-15,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,302,3,2020-03-28,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,1339,47,2020-09-05,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,133,0,2020-09-11,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,0,0,2020-02-17,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,5,0,2020-03-16,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,2,0,2020-05-17,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,19,0,2020-04-03,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,472,3,2020-10-09,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,530,8,2020-09-18,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,1,0,2020-03-03,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,672,5,2020-10-08,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,201,7,2020-09-12,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,2020-08-03,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,214,0,2020-07-27,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,76,6,2020-04-12,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,0,0,2020-07-01,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,150,1,2020-09-16,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,32,1,2020-06-19,"Epidemic intelligence, national daily data"
Faroes,,,48865,4,0,2020-04-03,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,45,0,2020-09-18,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,2020-01-31,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,0,0,2020-01-04,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,0,0,2020-02-21,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,15,1,2020-04-26,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,5905,134,2020-09-19,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,6,2,2020-04-23,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,2020-09-04,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,20,0,2020-03-23,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,899,5,2020-09-26,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,2,0,2020-08-14,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,243,2,2020-09-19,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,0,0,2020-10-12,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,319,71,2020-05-09,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,1668,4,2020-10-23,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,1537,369,2020-04-26,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,1,0,2020-06-26,"Epidemic intelligence, national daily data"
